cocktail,ingredients
Vesper,gin vodka lillet blonde
Bacardi,white rum lime juice syrup
Negroni,gin campari vermouth
Rose,kirsch vermouth syrup
Old Fashioned,whiskey angostura bitters sugar few dashes plain water
Tuxedo,gin vermouth absinthe cherry liqueur orange bitters
Mojito,white rum soda water lime juice mint sugar
Horse's Neck,cognac ginger ale dash of angostura bitters (optional)
Planter's Punch,dark rum orange juice pineapple juice lemon juice syrup syrup angostura bitters
Sea Breeze,vodka cranberry juice grapefruit juice
Pisco Sour,pisco lemon juice syrup egg white
Long Island Iced Tea,tequila vodka white rum triple sec gin lemon juice syrup cola
Clover Club,gin raspberry syrup lemon juice egg white
Angel Face,gin apricot brandy calvados
Mimosa,champagne orange juice
Whiskey Sour,whiskey lemon juice egg white syrup
Screwdriver,vodka orange juice
Cuba Libre,white rum cola lime juice
Manhattan,whiskey vermouth angostura bitters
Porto Flip,cognac red port egg yolk
Gin Fizz,gin lemon juice syrup soda water
Espresso Martini,vodka coffee liqueur coffee syrup
Margarita,tequila triple sec lime juice
French 75,gin lemon juice syrup champagne
Yellow Bird,white rum galliano triple sec lime juice
Pina Colada,white rum pineapple juice coconut milk
Aviation,gin cherry liqueur lemon juice crème de violette
Bellini,prosecco peach puree
Grasshopper,créme de cacao créme de menthe cream
Tequila Sunrise,tequila orange juice syrup
Daiquiri,white rum lime juice syrup
Rusty Nail,whiskey drambuie
B-52,coffee liqueur cream liqueur triple sec
Stinger,cognac créme de menthe
Golden Dream,galliano triple sec orange juice cream
Godmother,vodka disaronno
Spritz Veneziano,prosecco aperol soda water
Bramble,gin lemon juice syrup blackberry liqueur
Brandy Alexander,cognac créme de cacao cream
Lemon Drop,citron vodka triple sec lemon juice
French Martini,vodka raspberry liqueur pineapple juice
Black Russian,vodka coffee liqueur
Bloody Mary,vodka tomato juice lemon juice worcestershire sauce tabasco celery salt pepper
Mai Tai,white rum dark rum triple sec syrup lime juice
Barracuda,dark rum galliano pineapple juice lime juice sparkling wine
Sex on the Beach,vodka peach schnapps cranberry juice orange juice
Monkey Gland,gin orange juice absinthe syrup
Derby,gin peach bitters mint
Sidecar,cognac triple sec lemon juice
Irish Coffee,whiskey coffee cream sugar
Sazerac,cognac absinthe peychaud’s bitters sugar
Americano,campari vermouth soda water
Singapore Sling,gin cherry liqueur triple sec dom bénédictine pineapple juice lime juice syrup angostura bitters
French Connection,cognac disaronno
Moscow Mule,vodka ginger beer lime juice lime
John Collins,gin lemon juice syrup soda water angostura bitters
Kir,dry white wine créme de cassis
Mint Julep,whiskey mint sugar 2 teaspoons water
Tommy's Margarita,tequila lime juice agave nectar
Paradise,gin apricot brandy orange juice
Dirty Martini,vodka vermouth olive juice
Champagne Cocktail,champagne cognac angostura bitters sugar
Mary Pickford,white rum cherry liqueur pineapple juice syrup
Hemingway Special,white rum grapefruit juice cherry liqueur lime juice
Dark 'n' Stormy,dark rum ginger beer
Ramos Fizz,gin lime juice lemon juice syrup cream egg white soda water orange flower water vanilla extract
Russian Spring Punch,vodka lemon juice créme de cassis syrup sparkling wine
Godfather,whiskey disaronno
Cosmopolitan,citron vodka triple sec lime juice cranberry juice
Dry Martini,gin vermouth
Between the Sheets,white rum cognac triple sec lemon juice
Casino,gin cherry liqueur orange bitters lemon juice
Caipirinha,cachaca sugar lime
Vampiro,tequila tomato juice orange juice lime juice worcestershire sauce honey half slice onion finely chopped few slices fresh red hot chili peppers salt
Kamikaze,vodka triple sec lime juice
White Lady,gin triple sec lemon juice
Harvey Wallbanger,vodka galliano orange juice
Gimlet,gin lime juice
White Russian,vodka coffee liqueur cream
Bluebird,gin blue curaçao angostura bitters
